Date,Value
7/31/20,95.38
8/1/20,96.54
8/2/20,95.8
8/3/20,96.35
8/4/20,94.12
8/5/20,99.41
8/6/20,100.19
8/7/20,100.09
8/8/20,101.8
8/9/20,99.76
8/10/20,99.57
8/11/20,99.01
8/12/20,100.87
8/13/20,96.45
8/14/20,97.11
8/15/20,102.18
8/16/20,108.93
8/17/20,107.06
8/18/20,108.87
8/19/20,107.71
8/20/20,106.97
8/21/20,105.5
8/22/20,107.56
8/23/20,107.47
8/24/20,105.54
8/25/20,105.87
8/26/20,104.92
8/27/20,105.63
8/28/20,104.03
8/29/20,103.31
8/30/20,102.8
8/31/20,102.17
9/1/20,103.96
9/2/20,105.53
9/3/20,106.54
9/4/20,108.7
9/5/20,106.4
9/6/20,108.1
9/7/20,108.81
9/8/20,110.2
9/9/20,110.37
9/10/20,109.77
9/11/20,109.9
9/12/20,108.91
9/13/20,107.28
9/14/20,106.5
9/15/20,106.18
9/16/20,103.53
9/17/20,104.13
9/18/20,102.76
9/19/20,101.5
9/20/20,100.77
9/21/20,98.21
9/22/20,98.56
9/23/20,98.24
9/24/20,98.03
9/25/20,100.08
9/26/20,97.1
9/27/20,95.37
9/28/20,96.09
9/29/20,95.51
9/30/20,93.24
10/1/20,94.06
10/2/20,92.19
10/3/20,92.2
10/4/20,92.05
10/5/20,93.6
10/6/20,94.12
10/7//20,94.33
10/8/20,94.81
10/9/20,94.65
10/10/20,94.39
10/11/20,94.79
10/12/20,94.5
10/13/20,95.63
10/14/20,94.77
10/15/20,93.5
10/16/20,93.77
10/17/20,91.91
10/18/20,90.94
10/19/20,90.93
10/20/20,87.25
10/21/20,86.55
10/22/20,102.49
10/23/20,97.16
10/24/20,95.6
10/25/20,96.43
10/26/20,96.27
10/27/20,96.12
10/28/20,98.51
10/29/20,95.5
10/30/20,95.99
10/31/20,95.9
11/1/20,94.2
11/2/20,94.23
11/3/20,98.81
11/4/20,95.83
11/5/20,95.55
11/6/20,98.42
11/7/20,97.9
11/8/20,93.33
11/9/20,95.71
11/10/20,96.01
11/11/20,94.35
11/12/20,92.39
11/13/20,93.56
11/14/20,94.52
11/15/20,94.68
11/16/20,94.45
11/17/20,96.47
11/18/20,104.25
11/19/20,101.7
11/20/20,100.7
11/21/20,106.8
11/22/20,107.11
11/23/20,107.26
11/24/20,109.88
11/25/20,113.37
11/26/20,111.75
11/27/20,110.4
11/28/20,107.4
11/29/20,103.27
11/30/20,105.67
12/1/20,113.44
12/2/20,110.77
12/3/20,110.2
12/4/20,112.06
12/5/20,108.55
12/6/20,109.24
12/7/20,111.03
12/8/20,109.48
12/9/20,107.11
12/10/20,107.12
12/11/20,106.45
12/12/20,105.79
12/13/20,106.1
12/14/20,109.36
12/15/20,108.25
12/16/20,108.93
12/17/20,109.57
12/18/20,111.27
12/19/20,111.79
12/20/20,113.67
12/21/20,117.5
12/22/20,115.91
12/23/20,118.52
12/24/20,122.26
12/25/20,117.32
12/26/20,119.62
12/27/20,124.33
12/28/20,120.24
12/29/20,120.88
12/30/20,123.31
12/31/20,124.18
1/1/21,120.6
1/2/21,117.47
1/3/21,119.8
1/4/21,121.22
1/5/21,123.32
1/6/21,127.62
1/7/21,136.87
1/8/21,137.97
1/9/21,137.39
1/10/21,148.67
1/11/21,153.56
1/12/21,153.69
1/13/21,152.43
1/14/21,155.74
1/15/21,156.18
1/16/21,161.33
1/17/21,161.44
1/18/21,157.56
1/19/21,158.28
1/20/21,158.55
1/21/21,150.44
1/22/21,144.97
1/23/21,142.9
1/24/21,142.75
1/25/21,142.99
1/26/21,143.34
1/27/21,186.13
1/28/21,148.43
1/29/21,149.95
1/30/21,142.24
1/31/21,148.68
2/1/21,147.91
2/2/21,145.76
2/3/21,147.02
2/4/21,147.72
2/5/21,146.16
2/6/21,145.51
2/7/21,140.22
2/8/21,139.51
2/9/21,148.29
2/10/21,140.44
2/11/21,146.4
2/12/21,143.02
2/13/21,140.74
2/14/21,144.19
2/15/21,138.5
2/16/21,138.45
2/17/21,139.3
2/18/21,137.29
2/19/21,134.6
2/20/21,130.8
2/21/21,129.02
2/22/21,130.13
2/23/21,140.57
2/24/21,136.31
2/25/21,132.28
2/26/21,129.57
2/27/21,134.26
2/28/21,132.33
3/1/21,136.62
3/2/21,135.02
3/3/21,136.35
3/4/21,132.99
3/5/21,136.06
3/6/21,136.1
3/7/21,134.82
3/8/21,136.12
3/9/21,134.28
3/10/21,133.53
3/11/21,132.09
3/12/21,133.36
3/13/21,133.14
3/14/21,130.56
3/15/21,138.4
3/16/21,137.56
3/17/21,137.21
3/18/21,139.04
3/19/21,137.18
3/20/21,134.09
3/21/21,132.85
3/22/21,130.13
3/23/21,126.78
3/24/21,126.56
3/25/21,128.86
3/26/21,127.6
3/27/21,122.46
3/28/21,119.33
3/29/21,118.32
3/30/21,118.5
3/31/21,120.44
4/1/21,120.78
4/2/21,113.6
4/3/21,112.87
4/4/21,114.05
4/5/21,111.8
4/6/21,110.49
4/7/21,112.37
4/8/21,112.48
4/9/21,110.09
4/10/21,109.6
4/11/21,112.18
4/12/21,112.04
4/13/21,112.25
4/14/21,114.44
4/15/21,110.65
4/16/21,106.41
4/17/21,106.41
4/18/21,106.41
4/19/21,109.52
4/20/21,109.32
4/21/21,110.4
4/22/21,110.13
4/23/21,109.84
4/24/21,111.45
4/25/21,119.73
4/26/21,121.56
4/27/21,113
4/28/21,110.22
4/29/21,104.97
4/30/21,106.55
5/1/21,103
5/2/21,103.16
5/3/21,103.01
5/4/21,107.86
5/5/21,110.12
5/6/21,110.27
5/7/21,110.59
5/8/21,111.65
5/9/21,114
5/10/21,116.55
5/11/21,118.02
5/12/21,117.19
5/13/21,117.5
5/14/21,123.62
5/15/21,127.29
5/16/21,129.68
5/17/21,125.07
5/18/21,144.9
5/19/21,144.6
5/20/21,144.07
5/21/21,145.76
5/22/21,152.82
5/23/21,151.05
5/24/21,147.13
5/25/21,140.93
5/26/21,152.29
5/27/21,143.57
5/28/21,136.49
5/29/21,142.9
5/30/21,143.76
5/31/21,144.84
6/1/21,141.4
6/2/21,140.99
6/3/21,142.11
6/4/21,143.75
6/5/21,140.73
6/6/21,140.16
6/7/21,141.36
6/8/21,138.3
6/9/21,137.8
6/10/21,137.7
6/11/21,134.84
6/12/21,135.35
6/13/21,135.82
6/14/21,137.9